user_id,gender,age,edu,play_time,payment,o,register_time,love_type
00098f7dc61e5de76159821d8addf83a,1,4,3,59.0,27.0,"116.34,39.99",949.0,1
001325e2ad124f73d081a6f6efc26d68,2,3,2,3447.0,61.2,"116.43,39.94",3724.0,2
00137b17115c25651d6bb0b1a67751a8,2,5,3,389.0,40.375,"116.28,40.01",1127.0,2
001776710f492b661cb4b5b5dbb7c395,3,3,1,508.0,52.09375,"116.31,39.51",770.0,0
001a51486f706c79a6ca283144b86fa6,3,3,1,9.0,35.666666666666664,"116.33,39.89",878.0,4
0020f038c33cde9b6e704667a73da979,1,3,0,0.0,56.66666666666666,"116.34,39.97",230.0,0
002804bdb3e163ac28c7a6050854d06d,1,2,0,5321.0,52.47692307692307,"116.39,39.99",5440.0,5
002fbe8d4b8ebe7e13021169a58ac8f4,3,3,0,51.0,53.56521739130435,"116.41,39.92",923.0,0
002ffcd28bd0719a6c28c09b770108ca,3,3,1,0.0,38.5,"116.17,39.88",882.0,1
0034c15013453e3e37265a275f7be440,1,3,2,750.0,39.384615384615394,"116.27,39.91",902.0,2
003590b612acf91ceacad5a9430983b8,2,3,3,1926.0,50.3469387755102,"116.66,39.90",2065.0,0
004466f1040dde154fc719a42753edf9,2,2,2,2.0,53.0,"116.47,39.86",98.0,4
0046e393373be84c7caccf25ab634dba,1,4,2,813.0,52.0,"116.37,40.00",1792.0,2
004e513276bad5ca6183f4ed2474dcd1,1,4,0,8160.0,47.35820895522389,"116.58,39.91",8736.0,0
00558442d9bfa0afcf7dbdfe59e455d1,1,4,3,44.0,52.31111111111111,"116.23,40.22",208.0,0
005c2cea99443c537fcea50c193e2abe,2,2,0,0.0,66.0,"116.39,39.94",287.0,3
005d5e0b1f9e4839b16a6de0db9d2cf6,1,5,2,3371.0,49.9041095890411,"116.42,39.90",3596.0,1
0060db80f4638b6d5f0413b279d96a4b,2,2,0,539.0,49.14285714285714,"116.31,39.90",1411.0,5
00649c020f85488e2496602bc6fb4e9c,1,4,0,17.0,43.57142857142857,"116.28,39.79",262.0,3
00651982bf0d6681df1b4720c4fab8c8,3,3,3,0.0,67.21428571428571,"116.32,39.89",947.0,4
006d2e1ab48e9256b81d0782838f5088,3,3,3,0.0,17.0,"116.37,40.01",68.0,3
006df79837766f6245dc409780204414,2,3,2,2570.0,49.81818181818182,"116.24,39.98",3260.0,3
0077a54611d3a3d319e0fa3d51ee477e,3,3,2,376.0,52.375,"116.31,39.94",770.0,3
007a67a71302082877dab54fe5ee99bf,1,3,0,0.0,50.13333333333333,"116.34,40.06",178.0,2
007ba10dbf609c68a8b98cab0ad2d392,3,3,0,981.0,53.29411764705882,"116.37,39.95",1374.0,3
00a1b2a63eade11e48bc99be05353e9d,3,3,3,4.0,55.5,"116.39,39.87",335.0,0
00a4e59951cbd5985c4f7d8da89584ea,2,1,1,0.0,65.33333333333333,"116.50,39.92",260.0,3
