user_id,gender,age,edu,play_time,o,register_time
0003d363d1f90ac29e6f8938197f3ecb,3,3,1,4.0,"116.34,39.99",146.0
000876d9a92b5f2381974186c1539d9b,2,3,2,1172.0,"116.43,39.94",2153.0
000c6c8bd08dc3974a6b07bba881bb4a,3,3,2,445.0,"116.28,40.01",1369.0
000e3f1eaf4240653f8ae1799f325572,1,2,3,0.0,"116.31,39.51",623.0
0010f3a55ac96c87b416f095eba9b9d1,1,3,0,4570.0,"116.33,39.89",4954.0
0018d7fa58fae33f677b9f047e6731a5,1,3,2,15.0,"116.34,39.97",303.0
0019b0ba4b24ae936db0a32fd7d307a8,3,3,0,89.0,"116.39,39.99",678.0
00210a4098a7a6b7e574690e03a847f3,1,3,2,145.0,"116.41,39.92",819.0
00222a66703de2fb188d502c247b9bb1,3,3,3,89.0,"116.17,39.88",1011.0
0023b4f0eb15296e7ec0ed0d266c60e1,2,2,3,522.0,"116.27,39.91",534.0
0025919e2e4a1cc51632b8b67d829b97,3,3,0,0.0,"116.66,39.90",368.0
002b0040bb93cdf036ef8ef05632c317,2,4,1,0.0,"116.47,39.86",6.0
002d4b032a0269cd936bce7052546073,3,3,2,0.0,"116.37,40.00",643.0
00305e10e6ea39be6415f6c044fd5bc1,1,2,2,0.0,"116.58,39.91",274.0
00330c1ea8d76efca075d51b158485b7,1,3,3,0.0,"116.23,40.22",670.0
00344eead370037f614831bb8c99dc62,2,3,1,711.0,"116.39,39.94",1557.0
0037a79e265175c4961cd47c3c189bdc,2,2,0,1644.0,"116.42,39.90",2069.0
0041b3a8d11152727c86d2c4fc011079,1,4,3,0.0,"116.31,39.90",7.0
004b25a1f97a16e8f6e337dcfc4daa6c,1,2,3,667.0,"116.28,39.79",1174.0
004d9e928d4cdc13f753b765d94c856d,3,3,0,0.0,"116.32,39.89",683.0
004f0ae2432b6aa9ecd7df4264f57e21,1,5,0,286.0,"116.37,40.01",942.0
00571f9a83db63cff3e62546f29c63b3,3,3,0,0.0,"116.24,39.98",162.0
005747602fe8ec838bb62a02c9b814e0,3,3,3,7304.0,"116.31,39.94",7511.0
005b4a7205e8659c1015899a255caccd,1,3,0,1186.0,"116.34,40.06",2051.0
005e81086b35aaedbcaac62cdf6f1f51,2,3,2,0.0,"116.37,39.95",664.0
005fbd6b3bc4994372870c9fa787753a,1,2,1,0.0,"116.39,39.87",914.0
0060c53a201005ec07b5fa132f01b0f0,3,3,2,2108.0,"116.50,39.92",2485.0
0066ffa44ba9289f13911d62469b64b3,1,2,1,4907.0,"116.39,39.90",5115.0
00686a263344174186c1d6283bcd90da,3,3,3,273.0,"116.37,39.91",1188.0
006b7dfb3cb1cbd3f6cb0d5203250ab4,2,3,0,866.0,"116.41,39.99",1797.0
006c98d0760d991445af03a25e7b3bc7,1,4,2,39.0,"116.36,40.08",557.0
006e9ed922d475724c31c01f08d55f1f,2,5,0,0.0,"116.39,39.86",994.0
0072e8049121656da8295335c2e3272e,2,3,2,0.0,"116.18,39.73",36.0
